chat_row,text_message,cleaned_text,workout_related_words,diet_related_words
44,Today was the bad day for my proteins. I feel so sad about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'proteins', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",0,1
45,Today was the disappointing day for my healthy eating. I feel so worst about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'healthy', 'eating', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",0,0
46,Today was the negative day for my Mediterranean diet. I feel so disappointing about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'mediterranean', 'diet', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,1
47,Today was the bad day for my portion control. I feel so disappointing about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'portion', 'control', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,0
48,Today was the sad day for my sports. I feel so bad about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'sports', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",1,0
49,Today was the hate day for my performance. I feel so negative about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'performance', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",1,0
50,I love my fiber session today! It really made a difference in my burpees!,"['i', 'love', 'my', 'fiber', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'burpees', '!']",1,1
51,Today was the bad day for my stamina. I feel so disappointing about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'stamina', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",1,0
52,I good my exercise session today! It really made a difference in my pilates!,"['i', 'good', 'my', 'exercise', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'pilates', '!']",2,0
53,I amazing my health session today! It really made a difference in my sports!,"['i', 'amazing', 'my', 'health', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'sports', '!']",2,0
54,Today was the negative day for my clean eating. I feel so negative about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'clean', 'eating', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,0
55,I amazing my squat session today!,"['i', 'amazing', 'my', 'squat', 'session', 'today', '!']",1,0
56,Today was the worst day for my cardio. I feel so poor about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'cardio', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",1,0
57,Today was the negative day for my fiber. I feel so negative about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'fiber', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,1
58,Today was the bad day for my performance. I feel so horrible about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'performance', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",1,0
59,I happy my strength training session today! It really made a difference in my aerobics!,"['i', 'happy', 'my', 'strength', 'training', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'aerobics', '!']",3,0
60,Today was the bad day for my motivation. I feel so poor about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'motivation', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",1,0
61,I amazing my gluten-free session today!,"['i', 'amazing', 'my', 'gluten-free', 'session', 'today', '!']",0,1
62,Today was the disappointing day for my aerobics. I feel so sad about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'aerobics', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
63,Today was the disappointing day for my meal plan. I feel so negative about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'meal', 'plan', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,0
64,I fantastic my exercise session today! It really made a difference in my weightlifting!,"['i', 'fantastic', 'my', 'exercise', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'weightlifting', '!']",2,0
65,Today was the worst day for my food diary. I feel so hate about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'food', 'diary', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",0,0
66,I positive my carbohydrates session today!,"['i', 'positive', 'my', 'carbohydrates', 'session', 'today', '!']",0,1
67,Today was the horrible day for my recovery. I feel so negative about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'recovery', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",1,0
68,I positive my training session today! It really made a difference in my muscle gain!,"['i', 'positive', 'my', 'training', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'muscle', 'gain', '!']",2,0
69,Today was the hate day for my burpees. I feel so hate about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'burpees', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",1,0
70,I great my health session today!,"['i', 'great', 'my', 'health', 'session', 'today', '!']",1,0
71,Today was the negative day for my detox. I feel so bad about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'detox', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",0,1
72,I good my running session today!,"['i', 'good', 'my', 'running', 'session', 'today', '!']",1,0
73,I good my wellness session today! It really made a difference in my resistance training!,"['i', 'good', 'my', 'wellness', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'resistance', 'training', '!']",2,0
74,I love my pilates session today!,"['i', 'love', 'my', 'pilates', 'session', 'today', '!']",1,0
75,Today was the horrible day for my powerlifting. I feel so sad about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'powerlifting', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
76,Today was the hate day for my endurance. I feel so bad about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'endurance', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",1,0
77,I positive my burpees session today! It really made a difference in my endurance!,"['i', 'positive', 'my', 'burpees', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'endurance', '!']",2,0
78,Today was the bad day for my calorie surplus. I feel so negative about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'calorie', 'surplus', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,0
79,Today was the disappointing day for my food pyramid. I feel so negative about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'food', 'pyramid', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,0
80,I amazing my resistance training session today!,"['i', 'amazing', 'my', 'resistance', 'training', 'session', 'today', '!']",1,0
81,I amazing my superfoods session today!,"['i', 'amazing', 'my', 'superfoods', 'session', 'today', '!']",0,1
82,Today was the poor day for my whole foods. I feel so horrible about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'whole', 'foods', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",0,0
83,Today was the worst day for my portion control. I feel so worst about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'portion', 'control', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",0,0
84,I happy my carbohydrates session today! It really made a difference in my weight loss!,"['i', 'happy', 'my', 'carbohydrates', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'weight', 'loss', '!']",0,1
85,Today was the negative day for my burpees. I feel so negative about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'burpees', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",1,0
86,Today was the poor day for my organic. I feel so poor about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'organic', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",0,1
87,I great my training session today!,"['i', 'great', 'my', 'training', 'session', 'today', '!']",1,0
88,Today was the disappointing day for my high-protein. I feel so bad about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'high-protein', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",0,1
89,I excellent my deadlift session today! It really made a difference in my powerlifting!,"['i', 'excellent', 'my', 'deadlift', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'powerlifting', '!']",2,0
90,Today was the hate day for my keto. I feel so bad about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'keto', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",0,1
91,I great my portion control session today!,"['i', 'great', 'my', 'portion', 'control', 'session', 'today', '!']",0,0
92,Today was the sad day for my yoga. I feel so poor about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'yoga', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",1,0
93,Today was the horrible day for my cycling. I feel so sad about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'cycling', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
94,Today was the negative day for my fit. I feel so horrible about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'fit', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",1,0
95,I amazing my low-sodium session today!,"['i', 'amazing', 'my', 'low-sodium', 'session', 'today', '!']",0,1
96,I fantastic my water intake session today!,"['i', 'fantastic', 'my', 'water', 'intake', 'session', 'today', '!']",0,0
97,Today was the disappointing day for my fats. I feel so sad about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'fats', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",0,1
98,I amazing my food pyramid session today!,"['i', 'amazing', 'my', 'food', 'pyramid', 'session', 'today', '!']",0,0
99,I fantastic my motivation session today!,"['i', 'fantastic', 'my', 'motivation', 'session', 'today', '!']",1,0
100,I excellent my fitness goals session today!,"['i', 'excellent', 'my', 'fitness', 'goals', 'session', 'today', '!']",1,0
101,I excellent my bodyweight exercises session today! It really made a difference in my deadlift!,"['i', 'excellent', 'my', 'bodyweight', 'exercises', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'deadlift', '!']",1,0
102,Today was the disappointing day for my processed foods. I feel so horrible about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'processed', 'foods', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",0,0
103,I excellent my cardiovascular session today!,"['i', 'excellent', 'my', 'cardiovascular', 'session', 'today', '!']",1,0
104,I fantastic my burpees session today! It really made a difference in my performance!,"['i', 'fantastic', 'my', 'burpees', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'performance', '!']",2,0
105,Today was the bad day for my calorie deficit. I feel so negative about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'calorie', 'deficit', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,0
106,I good my Mediterranean diet session today!,"['i', 'good', 'my', 'mediterranean', 'diet', 'session', 'today', '!']",0,1
107,I love my macronutrients session today!,"['i', 'love', 'my', 'macronutrients', 'session', 'today', '!']",0,1
108,I happy my sports session today! It really made a difference in my flexibility!,"['i', 'happy', 'my', 'sports', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'flexibility', '!']",2,0
109,I excellent my stamina session today! It really made a difference in my squat!,"['i', 'excellent', 'my', 'stamina', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'squat', '!']",2,0
110,Today was the worst day for my recovery. I feel so poor about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'recovery', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",1,0
111,Today was the worst day for my balanced diet. I feel so horrible about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'balanced', 'diet', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",0,1
112,I amazing my pilates session today!,"['i', 'amazing', 'my', 'pilates', 'session', 'today', '!']",1,0
113,I happy my calisthenics session today!,"['i', 'happy', 'my', 'calisthenics', 'session', 'today', '!']",1,0
114,Today was the negative day for my water intake. I feel so poor about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'water', 'intake', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",0,0
115,I great my processed foods session today!,"['i', 'great', 'my', 'processed', 'foods', 'session', 'today', '!']",0,0
116,Today was the worst day for my food pyramid. I feel so disappointing about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'food', 'pyramid', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,0
117,I good my aerobics session today!,"['i', 'good', 'my', 'aerobics', 'session', 'today', '!']",1,0
118,Today was the bad day for my sugar-free. I feel so disappointing about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'sugar-free', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,1
119,I excellent my fiber session today!,"['i', 'excellent', 'my', 'fiber', 'session', 'today', '!']",0,1
120,I positive my gym session today!,"['i', 'positive', 'my', 'gym', 'session', 'today', '!']",1,0
121,I positive my nutrition labels session today!,"['i', 'positive', 'my', 'nutrition', 'labels', 'session', 'today', '!']",0,1
122,Today was the bad day for my sports. I feel so negative about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'sports', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",1,0
123,Today was the bad day for my food diary. I feel so poor about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'food', 'diary', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",0,0
124,Today was the hate day for my calories. I feel so negative about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'calories', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,1
125,Today was the sad day for my micronutrients. I feel so horrible about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'micronutrients', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",0,1
126,Today was the disappointing day for my strength training. I feel so worst about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'strength', 'training', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",2,0
127,Today was the negative day for my weightlifting. I feel so worst about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'weightlifting', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",1,0
128,Today was the sad day for my fitness. I feel so bad about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'fitness', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",1,0
129,Today was the sad day for my deadlift. I feel so bad about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'deadlift', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",1,0
130,I good my squat session today! It really made a difference in my hiit!,"['i', 'good', 'my', 'squat', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'hiit', '!']",2,0
131,I great my calories session today!,"['i', 'great', 'my', 'calories', 'session', 'today', '!']",0,1
132,I love my cardiovascular session today! It really made a difference in my workout!,"['i', 'love', 'my', 'cardiovascular', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'workout', '!']",2,0
133,Today was the horrible day for my portion control. I feel so hate about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'portion', 'control', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",0,0
134,I positive my fitness journey session today!,"['i', 'positive', 'my', 'fitness', 'journey', 'session', 'today', '!']",1,0
135,I excellent my keto session today!,"['i', 'excellent', 'my', 'keto', 'session', 'today', '!']",0,1
136,I great my motivation session today! It really made a difference in my sports!,"['i', 'great', 'my', 'motivation', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'sports', '!']",2,0
137,Today was the horrible day for my fitness goals. I feel so sad about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'fitness', 'goals', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
138,Today was the disappointing day for my high-protein. I feel so disappointing about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'high-protein', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,1
139,I amazing my calories session today!,"['i', 'amazing', 'my', 'calories', 'session', 'today', '!']",0,1
140,I love my nutrition labels session today!,"['i', 'love', 'my', 'nutrition', 'labels', 'session', 'today', '!']",0,1
141,Today was the negative day for my push-up. I feel so sad about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'push-up', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
142,Today was the horrible day for my balanced diet. I feel so hate about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'balanced', 'diet', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",0,1
143,I fantastic my plank session today!,"['i', 'fantastic', 'my', 'plank', 'session', 'today', '!']",1,0
144,I great my push-up session today!,"['i', 'great', 'my', 'push-up', 'session', 'today', '!']",1,0
145,Today was the poor day for my endurance. I feel so bad about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'endurance', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",1,0
146,Today was the sad day for my hydration. I feel so horrible about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'hydration', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",0,1
147,I happy my hydration session today!,"['i', 'happy', 'my', 'hydration', 'session', 'today', '!']",0,1
148,Today was the disappointing day for my vegetarian. I feel so hate about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'vegetarian', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",0,1
149,I great my core session today!,"['i', 'great', 'my', 'core', 'session', 'today', '!']",1,0
150,Today was the hate day for my detox. I feel so bad about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'detox', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",0,1
151,Today was the bad day for my aerobics. I feel so sad about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'aerobics', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
152,I happy my nutrition session today!,"['i', 'happy', 'my', 'nutrition', 'session', 'today', '!']",0,1
153,Today was the disappointing day for my recovery. I feel so sad about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'recovery', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
154,Today was the worst day for my stamina. I feel so bad about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'stamina', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",1,0
155,I happy my calories session today!,"['i', 'happy', 'my', 'calories', 'session', 'today', '!']",0,1
156,I happy my cardio session today!,"['i', 'happy', 'my', 'cardio', 'session', 'today', '!']",1,0
157,I love my fit session today! It really made a difference in my cardiovascular!,"['i', 'love', 'my', 'fit', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'cardiovascular', '!']",2,0
158,Today was the horrible day for my whole foods. I feel so horrible about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'whole', 'foods', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",0,0
159,Today was the negative day for my sugar-free. I feel so hate about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'sugar-free', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",0,1
160,I great my sports session today!,"['i', 'great', 'my', 'sports', 'session', 'today', '!']",1,0
161,Today was the sad day for my healthy snacks. I feel so horrible about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'healthy', 'snacks', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",0,0
